Date_reported,Country_code,Country,WHO_region,New_cases,Cumulative_cases,New_deaths,Cumulative_deaths
2020-01-05,SR,Suriname,AMRO,0.0,0,0.0,0
2020-01-12,SR,Suriname,AMRO,0.0,0,0.0,0
2020-01-19,SR,Suriname,AMRO,0.0,0,0.0,0
2020-01-26,SR,Suriname,AMRO,0.0,0,0.0,0
2020-02-02,SR,Suriname,AMRO,0.0,0,0.0,0
2020-02-09,SR,Suriname,AMRO,0.0,0,0.0,0
2020-02-16,SR,Suriname,AMRO,0.0,0,0.0,0
2020-02-23,SR,Suriname,AMRO,0.0,0,0.0,0
2020-03-01,SR,Suriname,AMRO,0.0,0,0.0,0
2020-03-08,SR,Suriname,AMRO,0.0,0,0.0,0
2020-03-15,SR,Suriname,AMRO,1.0,1,0.0,0
2020-03-22,SR,Suriname,AMRO,1.0,2,0.0,0
2020-03-29,SR,Suriname,AMRO,6.0,8,0.0,0
2020-04-05,SR,Suriname,AMRO,2.0,10,0.0,0
2020-04-12,SR,Suriname,AMRO,0.0,10,1.0,1
2020-04-19,SR,Suriname,AMRO,0.0,10,0.0,1
2020-04-26,SR,Suriname,AMRO,0.0,10,0.0,1
2020-05-03,SR,Suriname,AMRO,0.0,10,0.0,1
2020-05-10,SR,Suriname,AMRO,0.0,10,0.0,1
2020-05-17,SR,Suriname,AMRO,0.0,10,0.0,1
2020-05-24,SR,Suriname,AMRO,1.0,11,0.0,1
2020-05-31,SR,Suriname,AMRO,1.0,12,0.0,1
2020-06-07,SR,Suriname,AMRO,78.0,90,0.0,1
2020-06-14,SR,Suriname,AMRO,97.0,187,2.0,3
2020-06-21,SR,Suriname,AMRO,106.0,293,5.0,8
2020-06-28,SR,Suriname,AMRO,98.0,391,2.0,10
2020-07-05,SR,Suriname,AMRO,174.0,565,4.0,14
2020-07-12,SR,Suriname,AMRO,164.0,729,4.0,18
2020-07-19,SR,Suriname,AMRO,214.0,943,1.0,19
2020-07-26,SR,Suriname,AMRO,362.0,1305,4.0,23
2020-08-02,SR,Suriname,AMRO,401.0,1706,3.0,26
2020-08-09,SR,Suriname,AMRO,497.0,2203,3.0,29
2020-08-16,SR,Suriname,AMRO,635.0,2838,12.0,41
2020-08-23,SR,Suriname,AMRO,622.0,3460,15.0,56
2020-08-30,SR,Suriname,AMRO,388.0,3848,10.0,66
2020-09-06,SR,Suriname,AMRO,404.0,4252,9.0,75
2020-09-13,SR,Suriname,AMRO,277.0,4529,18.0,93
2020-09-20,SR,Suriname,AMRO,162.0,4691,3.0,96
2020-09-27,SR,Suriname,AMRO,126.0,4817,6.0,102
2020-10-04,SR,Suriname,AMRO,82.0,4899,3.0,105
2020-10-11,SR,Suriname,AMRO,119.0,5018,1.0,106
2020-10-18,SR,Suriname,AMRO,95.0,5113,3.0,109
2020-10-25,SR,Suriname,AMRO,42.0,5155,0.0,109
2020-11-01,SR,Suriname,AMRO,46.0,5201,2.0,111
2020-11-08,SR,Suriname,AMRO,26.0,5227,1.0,112
2020-11-15,SR,Suriname,AMRO,41.0,5268,2.0,114
2020-11-22,SR,Suriname,AMRO,21.0,5289,2.0,116
2020-11-29,SR,Suriname,AMRO,22.0,5311,1.0,117
2020-12-06,SR,Suriname,AMRO,11.0,5322,0.0,117
2020-12-13,SR,Suriname,AMRO,17.0,5339,0.0,117
2020-12-20,SR,Suriname,AMRO,120.0,5459,0.0,117
2020-12-27,SR,Suriname,AMRO,421.0,5880,2.0,119
2021-01-03,SR,Suriname,AMRO,397.0,6277,4.0,123
2021-01-10,SR,Suriname,AMRO,577.0,6854,8.0,131
2021-01-17,SR,Suriname,AMRO,555.0,7409,8.0,139
2021-01-24,SR,Suriname,AMRO,536.0,7945,9.0,148
2021-01-31,SR,Suriname,AMRO,419.0,8364,6.0,154
2021-02-07,SR,Suriname,AMRO,255.0,8619,4.0,158
2021-02-14,SR,Suriname,AMRO,159.0,8778,8.0,166
2021-02-21,SR,Suriname,AMRO,76.0,8854,2.0,168
2021-02-28,SR,Suriname,AMRO,59.0,8913,2.0,170
2021-03-07,SR,Suriname,AMRO,53.0,8966,5.0,175
2021-03-14,SR,Suriname,AMRO,46.0,9012,1.0,176
2021-03-21,SR,Suriname,AMRO,43.0,9055,0.0,176
2021-03-28,SR,Suriname,AMRO,33.0,9088,1.0,177
2021-04-04,SR,Suriname,AMRO,49.0,9137,0.0,177
2021-04-11,SR,Suriname,AMRO,128.0,9265,1.0,178
2021-04-18,SR,Suriname,AMRO,231.0,9496,9.0,187
2021-04-25,SR,Suriname,AMRO,436.0,9932,6.0,193
2021-05-02,SR,Suriname,AMRO,431.0,10363,11.0,204
2021-05-09,SR,Suriname,AMRO,570.0,10933,10.0,214
2021-05-16,SR,Suriname,AMRO,774.0,11707,9.0,223
2021-05-23,SR,Suriname,AMRO,1035.0,12742,20.0,243
2021-05-30,SR,Suriname,AMRO,1563.0,14305,39.0,282
2021-06-06,SR,Suriname,AMRO,1704.0,16009,50.0,332
2021-06-13,SR,Suriname,AMRO,1790.0,17799,58.0,390
2021-06-20,SR,Suriname,AMRO,1777.0,19576,53.0,443
2021-06-27,SR,Suriname,AMRO,1335.0,20911,51.0,494
2021-07-04,SR,Suriname,AMRO,1152.0,22063,45.0,539
2021-07-11,SR,Suriname,AMRO,1106.0,23169,29.0,568
2021-07-18,SR,Suriname,AMRO,886.0,24055,39.0,607
2021-07-25,SR,Suriname,AMRO,634.0,24689,20.0,627
2021-08-01,SR,Suriname,AMRO,598.0,25287,18.0,645
2021-08-08,SR,Suriname,AMRO,566.0,25853,14.0,659
2021-08-15,SR,Suriname,AMRO,580.0,26433,17.0,676
2021-08-22,SR,Suriname,AMRO,777.0,27210,20.0,696
2021-08-29,SR,Suriname,AMRO,1252.0,28462,13.0,709
2021-09-05,SR,Suriname,AMRO,1658.0,30120,24.0,733
2021-09-12,SR,Suriname,AMRO,2644.0,32764,23.0,756
2021-09-19,SR,Suriname,AMRO,3664.0,36428,40.0,796
2021-09-26,SR,Suriname,AMRO,3181.0,39609,45.0,841
2021-10-03,SR,Suriname,AMRO,2258.0,41867,52.0,893
2021-10-10,SR,Suriname,AMRO,2169.0,44036,60.0,953
2021-10-17,SR,Suriname,AMRO,2096.0,46132,54.0,1007
2021-10-24,SR,Suriname,AMRO,1743.0,47875,47.0,1054
2021-10-31,SR,Suriname,AMRO,1024.0,48899,28.0,1082
2021-11-07,SR,Suriname,AMRO,605.0,49504,30.0,1112
2021-11-14,SR,Suriname,AMRO,509.0,50013,21.0,1133
2021-11-21,SR,Suriname,AMRO,397.0,50410,13.0,1146
2021-11-28,SR,Suriname,AMRO,300.0,50710,16.0,1162
2021-12-05,SR,Suriname,AMRO,250.0,50960,8.0,1170
2021-12-12,SR,Suriname,AMRO,207.0,51167,6.0,1176
2021-12-19,SR,Suriname,AMRO,217.0,51384,4.0,1180
2021-12-26,SR,Suriname,AMRO,179.0,51563,6.0,1186
2022-01-02,SR,Suriname,AMRO,883.0,52446,3.0,1189
2022-01-09,SR,Suriname,AMRO,4346.0,56792,7.0,1196
2022-01-16,SR,Suriname,AMRO,5942.0,62734,12.0,1208
2022-01-23,SR,Suriname,AMRO,6541.0,69275,23.0,1231
2022-01-30,SR,Suriname,AMRO,3668.0,72943,26.0,1257
2022-02-06,SR,Suriname,AMRO,2309.0,75252,17.0,1274
2022-02-13,SR,Suriname,AMRO,1624.0,76876,24.0,1298
2022-02-20,SR,Suriname,AMRO,758.0,77634,11.0,1309
2022-02-27,SR,Suriname,AMRO,436.0,78070,6.0,1315
2022-03-06,SR,Suriname,AMRO,384.0,78454,2.0,1317
2022-03-13,SR,Suriname,AMRO,286.0,78740,3.0,1320
2022-03-20,SR,Suriname,AMRO,176.0,78916,3.0,1323
2022-03-27,SR,Suriname,AMRO,217.0,79133,1.0,1324
2022-04-03,SR,Suriname,AMRO,96.0,79229,1.0,1325
2022-04-10,SR,Suriname,AMRO,12.0,79241,0.0,1325
2022-04-17,SR,Suriname,AMRO,35.0,79276,0.0,1325
2022-04-24,SR,Suriname,AMRO,26.0,79302,2.0,1327
2022-05-01,SR,Suriname,AMRO,34.0,79336,1.0,1328
2022-05-08,SR,Suriname,AMRO,57.0,79393,0.0,1328
2022-05-15,SR,Suriname,AMRO,615.0,80008,9.0,1337
2022-05-22,SR,Suriname,AMRO,232.0,80240,2.0,1339
2022-05-29,SR,Suriname,AMRO,176.0,80416,2.0,1341
2022-06-05,SR,Suriname,AMRO,131.0,80547,9.0,1350
2022-06-12,SR,Suriname,AMRO,126.0,80673,2.0,1352
2022-06-19,SR,Suriname,AMRO,93.0,80766,3.0,1355
2022-06-26,SR,Suriname,AMRO,51.0,80817,4.0,1359
2022-07-03,SR,Suriname,AMRO,47.0,80864,10.0,1369
2022-07-10,SR,Suriname,AMRO,26.0,80890,7.0,1376
2022-07-17,SR,Suriname,AMRO,29.0,80919,1.0,1377
2022-07-24,SR,Suriname,AMRO,30.0,80949,2.0,1379
2022-07-31,SR,Suriname,AMRO,17.0,80966,1.0,1380
2022-08-07,SR,Suriname,AMRO,16.0,80982,0.0,1380
2022-08-14,SR,Suriname,AMRO,6.0,80988,0.0,1380
2022-08-21,SR,Suriname,AMRO,19.0,81007,2.0,1382
2022-08-28,SR,Suriname,AMRO,15.0,81022,1.0,1383
2022-09-04,SR,Suriname,AMRO,17.0,81039,0.0,1383
2022-09-11,SR,Suriname,AMRO,18.0,81057,1.0,1384
2022-09-18,SR,Suriname,AMRO,21.0,81078,0.0,1384
2022-09-25,SR,Suriname,AMRO,21.0,81099,1.0,1385
2022-10-02,SR,Suriname,AMRO,7.0,81106,0.0,1385
2022-10-09,SR,Suriname,AMRO,8.0,81114,0.0,1385
2022-10-16,SR,Suriname,AMRO,17.0,81131,0.0,1385
2022-10-23,SR,Suriname,AMRO,27.0,81158,1.0,1386
2022-10-30,SR,Suriname,AMRO,27.0,81185,4.0,1390
2022-11-06,SR,Suriname,AMRO,43.0,81228,2.0,1392
2022-11-13,SR,Suriname,AMRO,0.0,81228,0.0,1392
2022-11-20,SR,Suriname,AMRO,0.0,81228,0.0,1392
2022-11-27,SR,Suriname,AMRO,0.0,81228,0.0,1392
2022-12-04,SR,Suriname,AMRO,353.0,81581,1.0,1393
2022-12-11,SR,Suriname,AMRO,0.0,81581,0.0,1393
2022-12-18,SR,Suriname,AMRO,0.0,81581,0.0,1393
2022-12-25,SR,Suriname,AMRO,0.0,81581,0.0,1393
2023-01-01,SR,Suriname,AMRO,0.0,81581,0.0,1393
2023-01-08,SR,Suriname,AMRO,439.0,82020,5.0,1398
2023-01-15,SR,Suriname,AMRO,0.0,82020,0.0,1398
2023-01-22,SR,Suriname,AMRO,0.0,82020,0.0,1398
2023-01-29,SR,Suriname,AMRO,0.0,82020,0.0,1398
2023-02-05,SR,Suriname,AMRO,207.0,82227,2.0,1400
2023-02-12,SR,Suriname,AMRO,0.0,82227,0.0,1400
2023-02-19,SR,Suriname,AMRO,0.0,82227,0.0,1400
2023-02-26,SR,Suriname,AMRO,0.0,82227,0.0,1400
2023-03-05,SR,Suriname,AMRO,240.0,82467,4.0,1404
2023-03-12,SR,Suriname,AMRO,0.0,82467,0.0,1404
2023-03-19,SR,Suriname,AMRO,0.0,82467,0.0,1404
2023-03-26,SR,Suriname,AMRO,0.0,82467,0.0,1404
2023-04-02,SR,Suriname,AMRO,0.0,82467,0.0,1404
2023-04-09,SR,Suriname,AMRO,28.0,82495,0.0,1404
2023-04-16,SR,Suriname,AMRO,0.0,82495,0.0,1404
2023-04-23,SR,Suriname,AMRO,0.0,82495,0.0,1404
2023-04-30,SR,Suriname,AMRO,0.0,82495,0.0,1404
2023-05-07,SR,Suriname,AMRO,0.0,82495,0.0,1404
2023-05-14,SR,Suriname,AMRO,0.0,82495,0.0,1404
2023-05-21,SR,Suriname,AMRO,0.0,82495,0.0,1404
2023-05-28,SR,Suriname,AMRO,0.0,82495,0.0,1404
2023-06-04,SR,Suriname,AMRO,0.0,82495,0.0,1404
2023-06-11,SR,Suriname,AMRO,0.0,82495,0.0,1404
2023-06-18,SR,Suriname,AMRO,0.0,82495,0.0,1404
2023-06-25,SR,Suriname,AMRO,0.0,82495,0.0,1404
2023-07-02,SR,Suriname,AMRO,0.0,82495,0.0,1404
2023-07-09,SR,Suriname,AMRO,0.0,82495,0.0,1404
2023-07-16,SR,Suriname,AMRO,0.0,82495,0.0,1404
2023-07-23,SR,Suriname,AMRO,0.0,82495,0.0,1404
2023-07-30,SR,Suriname,AMRO,0.0,82495,0.0,1404
2023-08-06,SR,Suriname,AMRO,0.0,82495,0.0,1404
2023-08-13,SR,Suriname,AMRO,0.0,82495,0.0,1404
2023-08-20,SR,Suriname,AMRO,0.0,82495,0.0,1404
2023-08-27,SR,Suriname,AMRO,0.0,82495,0.0,1404
2023-09-03,SR,Suriname,AMRO,0.0,82495,0.0,1404
2023-09-10,SR,Suriname,AMRO,0.0,82495,0.0,1404
2023-09-17,SR,Suriname,AMRO,0.0,82495,0.0,1404
2023-09-24,SR,Suriname,AMRO,0.0,82495,0.0,1404
2023-10-01,SR,Suriname,AMRO,0.0,82495,0.0,1404
2023-10-08,SR,Suriname,AMRO,0.0,82495,0.0,1404
2023-10-15,SR,Suriname,AMRO,0.0,82495,0.0,1404
2023-10-22,SR,Suriname,AMRO,0.0,82495,0.0,1404
2023-10-29,SR,Suriname,AMRO,0.0,82495,0.0,1404
2023-11-05,SR,Suriname,AMRO,0.0,82495,0.0,1404
2023-11-12,SR,Suriname,AMRO,0.0,82495,0.0,1404
2023-11-19,SR,Suriname,AMRO,0.0,82495,0.0,1404
2023-11-26,SR,Suriname,AMRO,0.0,82495,0.0,1404
2023-12-03,SR,Suriname,AMRO,0.0,82495,0.0,1404
2023-12-10,SR,Suriname,AMRO,0.0,82495,0.0,1404
2023-12-17,SR,Suriname,AMRO,0.0,82495,0.0,1404
2023-12-24,SR,Suriname,AMRO,0.0,82495,0.0,1404
2023-12-31,SR,Suriname,AMRO,0.0,82495,0.0,1404
2024-01-07,SR,Suriname,AMRO,0.0,82495,0.0,1404
2024-01-14,SR,Suriname,AMRO,0.0,82495,0.0,1404
2024-01-21,SR,Suriname,AMRO,0.0,82495,0.0,1404
2024-01-28,SR,Suriname,AMRO,0.0,82495,0.0,1404
2024-02-04,SR,Suriname,AMRO,1.0,82496,1.0,1405
2024-02-11,SR,Suriname,AMRO,0.0,82496,0.0,1405
2024-02-18,SR,Suriname,AMRO,0.0,82496,0.0,1405
2024-02-25,SR,Suriname,AMRO,0.0,82496,0.0,1405
2024-03-03,SR,Suriname,AMRO,0.0,82496,0.0,1405
2024-03-10,SR,Suriname,AMRO,0.0,82496,0.0,1405
2024-03-17,SR,Suriname,AMRO,0.0,82496,0.0,1405
2024-03-24,SR,Suriname,AMRO,0.0,82496,0.0,1405
2024-03-31,SR,Suriname,AMRO,0.0,82496,0.0,1405
2024-04-07,SR,Suriname,AMRO,0.0,82496,0.0,1405
2024-04-14,SR,Suriname,AMRO,0.0,82496,0.0,1405
2024-04-21,SR,Suriname,AMRO,0.0,82496,0.0,1405
2024-04-28,SR,Suriname,AMRO,0.0,82496,0.0,1405
